category,test,index,reason,details,question
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","21","Explanation/answer letter mismatch","explains C but correct=D","The fuel tanks of"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","23","Explanation/answer letter mismatch","explains A but correct=D","What type of fire extinguisher would be used on"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","26","Explanation/answer letter mismatch","explains C but correct=D","reads fuel quantity by mass 4. compensates for change of aircraft attitude"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","27","Explanation/answer letter mismatch","explains B but correct=D","The correct extinguisher to use on"
"Aircraft General Knowledge","Aircraft General Knowledge Test 3","24","Explanation/answer letter mismatch","explains B but correct=D","On"
"Aircraft General Knowledge","Aircraft General Knowledge Test 4","21","Explanation/answer letter mismatch","explains B but correct=D","What is the purpose of inboard ailerons:?"
"Aircraft General Knowledge","Aircraft General Knowledge Test 4","23","Explanation/answer letter mismatch","explains B but correct=D","An axial flow compressor when compared to"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","22","Explanation/answer letter mismatch","explains C but correct=D","What does octane rating when applied to AVGAS refer to?"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","23","Explanation/answer letter mismatch","explains C but correct=D","What is the purpose of the torque links in"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","26","Explanation/answer letter mismatch","explains D but correct=C","The requirement for an aircraft to have"
"Aircraft General Knowledge"," A Aircraft General Knowledge Test 5","1","Explanation/answer letter mismatch","explains A but correct=C","The EGT indication on"
"Aircraft General Knowledge"," A Aircraft General Knowledge Test 5","2","Explanation/answer letter mismatch","explains A but correct=B","In an aircraft with"
"Air Law","Air Law Test 3","21","Explanation/answer letter mismatch","explains D but correct=C","Aircraft"
"Air Law","Air Law Test 3","23","Explanation/answer letter mismatch","explains D but correct=A","An aircraft is expected to overtake another aircraft if it is closing from behind in"
"Air Law"," C Air Law Test 2","2","Explanation/answer letter mismatch","explains D but correct=A","In an instrument approach procedure, the segment where the aircraft is lined up with the runway centre line and when the decent is commenced is called:"
"Air Law"," C Air Law Test 2","3","Explanation/answer letter mismatch","explains B but correct=D","Except when cleared by an ATC unit,"
"Air Law"," C Air Law Test 2","6","Explanation/answer letter mismatch","explains B but correct=C","An aircraft, on"
"Air Law"," C Air Law Test 2","8","Explanation/answer letter mismatch","explains D but correct=C","A manoeuvre where"
"Air Law"," A Air Law Test 4","1","Explanation/answer letter mismatch","explains A but correct=D","An aircraft is maintaining FL150 in Class C Airspace. Another aircraft below at FL140 receives"
"Air Law"," A Air Law Test 4","9","Explanation/answer letter mismatch","explains B but correct=D","Temporary changes of long duration (3 months or more) and information of short duration which contains extensive graphics and/or text are published as AIP Supplements. Check lists of these Supplements which are in force are sent to recipients at intervals of not more than:"
"Air Law"," D Air Law Test 5","2","Explanation/answer letter mismatch","explains A but correct=D","Correct Answer: B 8. If no ICAO identifier has been attributed to an aerodrome, what should be entered in Box  of the Flight Plan?"
"Air Law"," D Air Law Test 5","12","Explanation/answer letter mismatch","explains B but correct=D","When"
"AON Aviation"," C AON Aviation Knowledge Test 4","2","Explanation/answer letter mismatch","explains A but correct=C","Report arrival to ATC after landing  B. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 7500 and land as close as possible to your EAT/ . Report arrival to ATC after landing  C. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 7600 and land as close as possible to your EAT/ETA. Report arrival to ATC after landing  D. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 0000 and land as close as possible to your EAT/ETA. Report arrival to ATC after landing  Correct Answer:"
"AON Aviation"," C AON Aviation Knowledge Test 4","5","Explanation/answer letter mismatch","explains B but correct=D","ELR is $1^{\circ}C/100m:$"
"AON Aviation"," C AON Aviation Knowledge Test 5","5","Explanation/answer letter mismatch","explains C but correct=D","The rigidity of"
"AON Aviation"," C AON Aviation Knowledge Test 5","7","Explanation/answer letter mismatch","explains A but correct=D","Which phraseology shall"
"AON Aviation"," D AON Aviation Knowledge Test 6","1","Explanation/answer letter mismatch","explains C but correct=D","If an aeroplane lands below its Max Structural Landing Mass, but above its Performance Limited Landing Mass for the arrival airfield: 1) It might not have sufficient runway length to stop safely 2) Tire temperature limits could be exceeded 3) It will increase structural fatigue 4) Physical damage might be suffered as"
"AON Aviation"," D AON Aviation Knowledge Test 6","3","Explanation/answer letter mismatch","explains A but correct=D","An accumulator in"
"Flight Planning"," C Flight Planning and Monitoring Test 2","2","Explanation/answer letter mismatch","explains B but correct=D","Refer to CAP  MRJT Figure 4.3.1b. Given: Trip Distance 1000 NM, Nil wind, FL290. For"
"Flight Planning"," C Flight Planning and Monitoring Test 2","8","Explanation/answer letter mismatch","explains A but correct=D","Given: Pressure Altitude 10000 ft, OAT -15°C, Power  inHg @ 2300rpm. The fuel flow and KIAS are:"
"Flight Planning"," C Flight Planning and Monitoring Test 2","11","Explanation/answer letter mismatch","explains B but correct=D","You are cruising at FL250 and need to be at FL50  NM before"
"Flight Planning"," Flight Planning and Monitoring Test 3","8","Explanation/answer letter mismatch","explains A but correct=D","Given: FL370 @ LRC, ISA +20°C, Distance  NGM,  kt headwind, Landing weight 50000 kg. What is the trip fuel and flight time?"
"Flight Planning"," Flight Planning and Monitoring Test 3","9","Explanation/answer letter mismatch","explains C but correct=D","Which of these levels is the lowest available?"
"Flight Planning"," Flight Planning and Monitoring Test 4","6","Explanation/answer letter mismatch","explains B but correct=D","What is Decision Point Procedure? It is"
"Radio Navigation"," Instrumentation Test 2","6","Explanation/answer letter mismatch","explains B but correct=D","The true altitude of an aircraft in flight is shown from:"
"Radio Navigation"," Instrumentation Test 2","15","Explanation/answer letter mismatch","explains C but correct=D","The period of validity of an FMS data base is:"
"Radio Navigation"," Instrumentation Test 3","1","Explanation/answer letter mismatch","explains B but correct=D","When accelerating on"
"Radio Navigation"," Instrumentation Test 3","4","Explanation/answer letter mismatch","explains B but correct=D","The rate of turn indicator is"
"Radio Navigation"," Instrumentation Test 3","6","Explanation/answer letter mismatch","explains B but correct=D","Why is there"
"Radio Navigation"," Instrumentation Test 4","11","Explanation/answer letter mismatch","explains C but correct=A","An aircraft maintaining"
"Radio Navigation"," Instrumentation Test 4","12","Explanation/answer letter mismatch","explains B but correct=C","Which of the following will affect"
"Radio Navigation"," Instrumentation Test 4","15","Explanation/answer letter mismatch","explains B but correct=C","The combined Machmeter/ASI is subject to the following errors:"
"Radio Navigation"," Instrumentation Test 5","1","Explanation/answer letter mismatch","explains A but correct=B","Given the following information calculate the instrument error in the altimeter: Indicated altitude 2500 ft, QFE 1003 set, Airfield elevation 1000 ft, QNH 1013."
"Radio Navigation"," Instrumentation Test 5","5","Explanation/answer letter mismatch","explains B but correct=D","In the ILS mode, one dot on the lateral deviation scale on the EHSI indicates:"
"Radio Navigation"," Instrumentation Test 5","11","Explanation/answer letter mismatch","explains B but correct=D","What are the advantages of an IRS compared to an INS?"
"Radio Navigation"," Instrumentation Test 5","12","Explanation/answer letter mismatch","explains A but correct=D","If the RPM of the rotor in"
"Radio Navigation"," A Human Performance and Limitations Test 2","3","Explanation/answer letter mismatch","explains C but correct=D","Which instrument, which was introduced in the 1980s, led to the greatest reduction of accidents?"
"Radio Navigation"," A Human Performance and Limitations Test 2","5","Explanation/answer letter mismatch","explains C but correct=D","A pilot should consult an aviation medicine specialist before donating blood because:"
"Radio Navigation"," A Human Performance and Limitations Test 2","11","Explanation/answer letter mismatch","explains C but correct=D","With"
"Radio Navigation"," A Human Performance and Limitations Test 2","12","Explanation/answer letter mismatch","explains C but correct=D","Who is responsible for Air Safety?"
"Radio Navigation"," A Human Performance and Limitations Test 2","15","Explanation/answer letter mismatch","explains A but correct=D","The oxygen-carrying capacity of"
"Radio Navigation"," A Human Performance and Limitations Test 3","4","Explanation/answer letter mismatch","explains C but correct=D","Time of useful consciousness (TUC) following loss of pressurization at 35000 ft is:"
"Radio Navigation"," A Human Performance and Limitations Test 3","5","Explanation/answer letter mismatch","explains D but correct=A","Among the symptoms of hypoxia are: 1. impaired judgment 2. fast and heavy breathing 3. impairment of vision 4. muscular impairment"
"Radio Navigation"," C Human Performance and Limitations Test 4","5","Explanation/answer letter mismatch","explains A but correct=D","Which of the following statements are correct?: Decompression sickness can be avoided by: 1. staying below 18000 ft 2. maintaining cabin pressure below 8000 ft 3. breathing 100% oxygen  minutes prior to and during flight above 18000 ft 4. breathing 100% oxygen  minutes prior to and during flight above 18000 ft"
"Radio Navigation"," C Human Performance and Limitations Test 4","8","Explanation/answer letter mismatch","explains C but correct=D","At what altitude is pressure half that at MSL:"
"Radio Navigation"," C Human Performance and Limitations Test 4","12","Explanation/answer letter mismatch","explains A but correct=D","On expiration there is:"
"Radio Navigation"," A Human Performance and Limitations Test 5","6","Explanation/answer letter mismatch","explains A but correct=D","While turning the aircraft the pilots moves his/her head. What effect might the pilot be exposed to:"
"Radio Navigation"," A Human Performance and Limitations Test 5","7","Explanation/answer letter mismatch","explains B but correct=D","Which Law is relevant to decompression sickness?"
"Radio Navigation"," A Human Performance and Limitations Test 5","11","Explanation/answer letter mismatch","explains B but correct=D","Night flying at 10000 ft you find that your acuity decreases. What can you do about it to improve your acuity?"
"Radio Navigation"," A Human Performance and Limitations Test 5","18","Explanation/answer letter mismatch","explains C but correct=D","Disorientation is most likely to occur when: 1. flying IMC 2. the pilot is distracted (using FMS for example) 3. flying from IMC to VMC 4. the pilot is unwell or fatigued"
"Meteorology & Weather","Meteorology Test 1","6","Explanation/answer letter mismatch","explains C but correct=D","When flying through the friction layer on approach to land, if the wind is steady in direction and speed, the crosswind component will:"
"Mass & Balance","Mass and Balance Test 1","7","Explanation/answer letter mismatch","explains C but correct=D","Use CAP 696, MRJT 1, fig 4.9. What is the balance arm, the maximum compartment load and the running load for the most aft compartment of the fwd cargo hold?"
"Mass & Balance","Mass and Balance Test 1","10","Explanation/answer letter mismatch","explains C but correct=D","When considering CG position, it must be remembered that it is:"
"Mass & Balance","Mass and Balance Test 1","12","Explanation/answer letter mismatch","explains C but correct=D","Total Required Fuel (excl Taxi) = 9250+850+700 = 10800 kg. Max Fuel loaded = 15678 kg. ZFW limited by PLTOM: Max Traffic Load = PLTOM - DOM - Takeoff Fuel = 67200 - 34930 - 15428 = 16842 kg. ZFW limited by PLLM: Max Landing Mass = PLLM = 54200 kg. Landing Mass = TOM - Trip Fuel. So Max TOM based on PLLM = PLLM + Trip Fuel = 54200 + 9250 = 63450 kg. Max Traffic Load = Max TOM based on PLLM - DOM - Takeoff Fuel = 63450 - 34930 - 15428 = 13092 kg. There's also likely"
"Instrumentation","Instrumentation Test 3","4","Duplicate conflict","Same question/options with different correct indices across entries","if the tas at 40000 ft is 450 kt the mach no. is:"
"Aircraft General Knowledge","Aircraft General Knowledge - 617 Import","44","Duplicate conflict","Same question/options with different correct indices across entries","if the tas at 40000 ft is 450 kt the mach no. is:"
"Aircraft General Knowledge","Aircraft General Knowledge - 617 Import","9","Duplicate conflict","Same question/options with different correct indices across entries","an aircraft is maintaining fl150 in class c airspace. another aircraft below at fl140 receives a clearance to descend to fl70. there is severe turbulence in the area. when at earliest can a clearance be expected to descend to fl140 or lower?"
"Meteorology & Weather","617 Import","5","Duplicate conflict","Same question/options with different correct indices across entries","an aircraft is maintaining fl150 in class c airspace. another aircraft below at fl140 receives a clearance to descend to fl70. there is severe turbulence in the area. when at earliest can a clearance be expected to descend to fl140 or lower?"
"Air Law","Air Law Test 5","16","Duplicate conflict","Same question/options with different correct indices across entries","the state of registration is:"
"AON Aviation","AON Aviation - 617 Import","33","Duplicate conflict","Same question/options with different correct indices across entries","the state of registration is:"
"Air Law","Air Law - 617 Import","6","Duplicate conflict","Same question/options with different correct indices across entries","a contracting state which continues to require the presentation of a cargo manifest shall, apart from the information indicated in the heading of the format of the cargo manifest, not require more than the following items:"
"AON Aviation","AON Aviation - 617 Import","34","Duplicate conflict","Same question/options with different correct indices across entries","a contracting state which continues to require the presentation of a cargo manifest shall, apart from the information indicated in the heading of the format of the cargo manifest, not require more than the following items:"